threshold_distribution,population_density,k_cap_mean,k_cap_sd,network_replicate,contagion_replicate,final_infected_fraction,time_to_majority,reached_majority_spread,max_slope
uniform_min_1_over_k,1e-05,50,25.0,1,18,0.765,22.0,True,0.04099999999999998
uniform,1e-05,50,25.0,1,19,0.544,26.0,True,0.041
uniform_min_1_over_k,1e-05,50,25.0,1,19,0.595,17.0,True,0.04700000000000001
uniform,1e-05,50,25.0,1,20,0.705,13.0,True,0.05099999999999999
uniform_min_1_over_k,1e-05,50,25.0,1,20,0.537,25.0,True,0.03899999999999999
uniform,1e-05,50,25.0,1,21,0.724,17.0,True,0.038
uniform_min_1_over_k,1e-05,50,25.0,1,21,0.357,,False,0.036000000000000004
uniform,1e-05,50,25.0,1,22,0.583,16.0,True,0.055999999999999994
uniform_min_1_over_k,1e-05,50,25.0,1,22,0.248,,False,0.027000000000000003
uniform,1e-05,50,25.0,1,23,0.683,10.0,True,0.061
uniform_min_1_over_k,1e-05,50,25.0,1,23,0.687,19.0,True,0.05499999999999999
uniform,1e-05,50,25.0,1,24,0.506,28.0,True,0.056
uniform_min_1_over_k,1e-05,50,25.0,1,24,0.768,15.0,True,0.04899999999999999
uniform,1e-05,50,25.0,1,25,0.554,26.0,True,0.046
uniform_min_1_over_k,1e-05,50,25.0,1,25,0.693,23.0,True,0.03700000000000003
uniform,1e-05,50,25.0,1,26,0.339,,False,0.047999999999999994
uniform_min_1_over_k,1e-05,50,25.0,1,26,0.414,,False,0.046000000000000006
uniform,1e-05,50,25.0,1,27,0.93,14.0,True,0.05299999999999999
uniform_min_1_over_k,1e-05,50,25.0,1,27,0.428,,False,0.04799999999999999
uniform,1e-05,50,25.0,1,28,0.238,,False,0.032
uniform_min_1_over_k,1e-05,50,25.0,1,28,0.35,,False,0.034000000000000016
uniform,1e-05,50,25.0,1,29,0.406,,False,0.045999999999999985
uniform_min_1_over_k,1e-05,50,25.0,1,29,0.668,14.0,True,0.05100000000000002
uniform,1e-05,50,25.0,1,30,0.665,22.0,True,0.045000000000000005
uniform_min_1_over_k,1e-05,50,25.0,1,30,0.487,,False,0.04099999999999998
uniform,1e-05,50,25.0,1,31,0.507,36.0,True,0.045
uniform_min_1_over_k,1e-05,50,25.0,1,31,0.526,16.0,True,0.05399999999999999
uniform,1e-05,50,25.0,1,32,0.759,10.0,True,0.06
uniform_min_1_over_k,1e-05,50,25.0,1,32,0.34,,False,0.034
uniform,1e-05,50,25.0,1,33,0.643,10.0,True,0.06000000000000001
uniform_min_1_over_k,1e-05,50,25.0,1,33,0.324,,False,0.04
uniform,1e-05,50,25.0,1,34,0.377,,False,0.035
uniform_min_1_over_k,1e-05,50,25.0,1,34,0.722,16.0,True,0.04200000000000001
uniform,1e-05,50,25.0,1,35,0.649,15.0,True,0.046
uniform_min_1_over_k,1e-05,50,25.0,1,35,0.732,12.0,True,0.046999999999999986
uniform,1e-05,50,25.0,1,36,0.644,11.0,True,0.05900000000000001
uniform_min_1_over_k,1e-05,50,25.0,1,36,0.919,9.0,True,0.06000000000000001
uniform,1e-05,50,25.0,1,37,0.699,18.0,True,0.060999999999999985
uniform_min_1_over_k,1e-05,50,25.0,1,37,0.358,,False,0.05800000000000001
uniform,1e-05,50,25.0,1,38,0.557,13.0,True,0.063
uniform_min_1_over_k,1e-05,50,25.0,1,38,0.788,22.0,True,0.052
uniform,1e-05,50,25.0,1,39,0.363,,False,0.032999999999999995
uniform_min_1_over_k,1e-05,50,25.0,1,39,0.548,28.0,True,0.03900000000000001
uniform,1e-05,50,25.0,1,40,0.743,14.0,True,0.04799999999999999
uniform_min_1_over_k,1e-05,50,25.0,1,40,0.482,,False,0.04199999999999998
uniform,1e-05,50,25.0,1,41,0.612,22.0,True,0.04500000000000001
uniform_min_1_over_k,1e-05,50,25.0,1,41,0.716,14.0,True,0.03899999999999998
uniform,1e-05,50,25.0,1,42,0.725,21.0,True,0.048
uniform_min_1_over_k,1e-05,50,25.0,1,42,0.489,,False,0.046999999999999986
uniform,1e-05,50,25.0,1,43,0.657,12.0,True,0.05099999999999999
uniform_min_1_over_k,1e-05,50,25.0,1,43,0.507,22.0,True,0.03900000000000001
uniform,1e-05,50,25.0,1,44,0.814,10.0,True,0.069
uniform_min_1_over_k,1e-05,50,25.0,1,44,0.614,22.0,True,0.04
uniform,1e-05,50,25.0,1,45,0.588,11.0,True,0.057999999999999996
uniform_min_1_over_k,1e-05,50,25.0,1,45,0.814,11.0,True,0.055999999999999994
uniform,1e-05,50,25.0,1,46,0.453,,False,0.05499999999999999
uniform_min_1_over_k,1e-05,50,25.0,1,46,0.723,12.0,True,0.04999999999999999
uniform,1e-05,50,25.0,1,47,0.852,13.0,True,0.046000000000000006
uniform_min_1_over_k,1e-05,50,25.0,1,47,0.532,31.0,True,0.04999999999999999
uniform,1e-05,50,25.0,1,48,0.598,27.0,True,0.052
uniform_min_1_over_k,1e-05,50,25.0,1,48,0.741,25.0,True,0.048999999999999995
uniform,1e-05,50,25.0,1,49,0.751,20.0,True,0.04200000000000001
uniform_min_1_over_k,1e-05,50,25.0,1,49,0.619,12.0,True,0.057999999999999996
uniform,1e-05,50,25.0,2,0,0.678,11.0,True,0.054
uniform_min_1_over_k,1e-05,50,25.0,2,0,0.755,15.0,True,0.046999999999999986
uniform,1e-05,50,25.0,2,1,0.411,,False,0.044000000000000004
uniform_min_1_over_k,1e-05,50,25.0,2,1,0.725,13.0,True,0.046999999999999986
uniform,1e-05,50,25.0,2,2,0.773,11.0,True,0.05900000000000001
uniform_min_1_over_k,1e-05,50,25.0,2,2,0.72,10.0,True,0.058000000000000024
uniform,1e-05,50,25.0,2,3,0.642,12.0,True,0.04999999999999999
uniform_min_1_over_k,1e-05,50,25.0,2,3,0.588,16.0,True,0.055999999999999994
uniform,1e-05,50,25.0,2,4,0.844,10.0,True,0.05700000000000001
uniform_min_1_over_k,1e-05,50,25.0,2,4,0.634,11.0,True,0.05500000000000002
uniform,1e-05,50,25.0,2,5,0.615,14.0,True,0.05700000000000001
uniform_min_1_over_k,1e-05,50,25.0,2,5,0.474,,False,0.038000000000000006
uniform,1e-05,50,25.0,2,6,0.841,13.0,True,0.051
uniform_min_1_over_k,1e-05,50,25.0,2,6,0.712,10.0,True,0.062
uniform,1e-05,50,25.0,2,7,0.793,14.0,True,0.05299999999999999
uniform_min_1_over_k,1e-05,50,25.0,2,7,0.483,,False,0.037000000000000005
uniform,1e-05,50,25.0,2,8,0.367,,False,0.041
uniform_min_1_over_k,1e-05,50,25.0,2,8,0.743,15.0,True,0.05700000000000001
uniform,1e-05,50,25.0,2,9,0.426,,False,0.04100000000000001
uniform_min_1_over_k,1e-05,50,25.0,2,9,0.885,19.0,True,0.036000000000000004
uniform,1e-05,50,25.0,2,10,0.818,15.0,True,0.04600000000000004
uniform_min_1_over_k,1e-05,50,25.0,2,10,0.283,,False,0.028999999999999998
uniform,1e-05,50,25.0,2,11,0.426,,False,0.057
uniform_min_1_over_k,1e-05,50,25.0,2,11,0.805,14.0,True,0.048000000000000015
uniform,1e-05,50,25.0,2,12,0.906,11.0,True,0.04999999999999999
uniform_min_1_over_k,1e-05,50,25.0,2,12,0.39,,False,0.04500000000000001
uniform,1e-05,50,25.0,2,13,0.584,10.0,True,0.06200000000000001
uniform_min_1_over_k,1e-05,50,25.0,2,13,0.659,15.0,True,0.051
uniform,1e-05,50,25.0,2,14,0.877,20.0,True,0.049999999999999996
uniform_min_1_over_k,1e-05,50,25.0,2,14,0.676,14.0,True,0.04899999999999999
uniform,1e-05,50,25.0,2,15,0.752,17.0,True,0.049999999999999996
uniform_min_1_over_k,1e-05,50,25.0,2,15,0.863,17.0,True,0.038999999999999924
uniform,1e-05,50,25.0,2,16,0.482,,False,0.051000000000000004
uniform_min_1_over_k,1e-05,50,25.0,2,16,0.86,10.0,True,0.056999999999999995
uniform,1e-05,50,25.0,2,17,0.824,9.0,True,0.05700000000000001
uniform_min_1_over_k,1e-05,50,25.0,2,17,0.778,10.0,True,0.05299999999999999
uniform,1e-05,50,25.0,2,18,0.609,19.0,True,0.057999999999999996
uniform_min_1_over_k,1e-05,50,25.0,2,18,0.699,10.0,True,0.05100000000000002
uniform,1e-05,50,25.0,2,19,0.679,26.0,True,0.032
uniform_min_1_over_k,1e-05,50,25.0,2,19,0.379,,False,0.028000000000000004
uniform,1e-05,50,25.0,2,20,0.809,9.0,True,0.059
uniform_min_1_over_k,1e-05,50,25.0,2,20,0.527,14.0,True,0.04999999999999999
uniform,1e-05,50,25.0,2,21,0.709,10.0,True,0.05700000000000001
uniform_min_1_over_k,1e-05,50,25.0,2,21,0.535,18.0,True,0.054
uniform,1e-05,50,25.0,2,22,0.566,10.0,True,0.065
uniform_min_1_over_k,1e-05,50,25.0,2,22,0.719,10.0,True,0.07100000000000001
uniform,1e-05,50,25.0,2,23,0.635,14.0,True,0.056999999999999995
uniform_min_1_over_k,1e-05,50,25.0,2,23,0.366,,False,0.034
uniform,1e-05,50,25.0,2,24,0.438,,False,0.05200000000000002
uniform_min_1_over_k,1e-05,50,25.0,2,24,0.791,13.0,True,0.04999999999999999
uniform,1e-05,50,25.0,2,25,0.826,11.0,True,0.057
uniform_min_1_over_k,1e-05,50,25.0,2,25,0.719,13.0,True,0.055
uniform,1e-05,50,25.0,2,26,0.63,11.0,True,0.058000000000000024
uniform_min_1_over_k,1e-05,50,25.0,2,26,0.782,10.0,True,0.06
uniform,1e-05,50,25.0,2,27,0.474,,False,0.04500000000000001
uniform_min_1_over_k,1e-05,50,25.0,2,27,0.773,14.0,True,0.062
uniform,1e-05,50,25.0,2,28,0.436,,False,0.044
uniform_min_1_over_k,1e-05,50,25.0,2,28,0.597,12.0,True,0.046999999999999986
uniform,1e-05,50,25.0,2,29,0.708,13.0,True,0.04299999999999998
uniform_min_1_over_k,1e-05,50,25.0,2,29,0.812,12.0,True,0.05399999999999999
uniform,1e-05,50,25.0,2,30,0.39,,False,0.04500000000000001
uniform_min_1_over_k,1e-05,50,25.0,2,30,0.689,28.0,True,0.028999999999999998
uniform,1e-05,50,25.0,2,31,0.669,16.0,True,0.056999999999999995
uniform_min_1_over_k,1e-05,50,25.0,2,31,0.556,30.0,True,0.04300000000000001
uniform,1e-05,50,25.0,2,32,0.555,13.0,True,0.061000000000000006
uniform_min_1_over_k,1e-05,50,25.0,2,32,0.499,,False,0.049000000000000016
uniform,1e-05,50,25.0,2,33,0.564,14.0,True,0.051000000000000004
uniform_min_1_over_k,1e-05,50,25.0,2,33,0.341,,False,0.045999999999999985
uniform,1e-05,50,25.0,2,34,0.379,,False,0.047
uniform_min_1_over_k,1e-05,50,25.0,2,34,0.694,13.0,True,0.05299999999999999
uniform,1e-05,50,25.0,2,35,0.864,11.0,True,0.061
uniform_min_1_over_k,1e-05,50,25.0,2,35,0.629,10.0,True,0.065
uniform,1e-05,50,25.0,2,36,0.675,9.0,True,0.07
uniform_min_1_over_k,1e-05,50,25.0,2,36,0.887,11.0,True,0.057999999999999996
uniform,1e-05,50,25.0,2,37,0.596,11.0,True,0.04999999999999996
uniform_min_1_over_k,1e-05,50,25.0,2,37,0.435,,False,0.042
uniform,1e-05,50,25.0,2,38,0.684,11.0,True,0.05399999999999999
uniform_min_1_over_k,1e-05,50,25.0,2,38,0.811,9.0,True,0.057999999999999996
uniform,1e-05,50,25.0,2,39,0.773,11.0,True,0.05899999999999998
uniform_min_1_over_k,1e-05,50,25.0,2,39,0.336,,False,0.053000000000000005
uniform,1e-05,50,25.0,2,40,0.574,14.0,True,0.057999999999999996
uniform_min_1_over_k,1e-05,50,25.0,2,40,0.57,18.0,True,0.052000000000000005
uniform,1e-05,50,25.0,2,41,0.611,30.0,True,0.046
uniform_min_1_over_k,1e-05,50,25.0,2,41,0.561,16.0,True,0.063
uniform,1e-05,50,25.0,2,42,0.593,11.0,True,0.053
uniform_min_1_over_k,1e-05,50,25.0,2,42,0.725,15.0,True,0.04600000000000001
uniform,1e-05,50,25.0,2,43,0.599,11.0,True,0.059000000000000025
uniform_min_1_over_k,1e-05,50,25.0,2,43,0.656,15.0,True,0.04300000000000001
uniform,1e-05,50,25.0,2,44,0.285,,False,0.04
uniform_min_1_over_k,1e-05,50,25.0,2,44,0.543,15.0,True,0.049000000000000016
uniform,1e-05,50,25.0,2,45,0.336,,False,0.044
uniform_min_1_over_k,1e-05,50,25.0,2,45,0.542,33.0,True,0.039999999999999994
uniform,1e-05,50,25.0,2,46,0.688,10.0,True,0.059000000000000025
uniform_min_1_over_k,1e-05,50,25.0,2,46,0.683,13.0,True,0.062
uniform,1e-05,50,25.0,2,47,0.767,13.0,True,0.04400000000000001
uniform_min_1_over_k,1e-05,50,25.0,2,47,0.626,9.0,True,0.066
uniform,1e-05,50,25.0,2,48,0.584,20.0,True,0.051
uniform_min_1_over_k,1e-05,50,25.0,2,48,0.512,17.0,True,0.05199999999999999
uniform,1e-05,50,25.0,2,49,0.703,9.0,True,0.066
uniform_min_1_over_k,1e-05,50,25.0,2,49,0.594,25.0,True,0.047000000000000014
uniform,1e-05,50,25.0,3,0,0.937,9.0,True,0.067
uniform_min_1_over_k,1e-05,50,25.0,3,0,0.47,,False,0.052000000000000005
uniform,1e-05,50,25.0,3,1,0.873,8.0,True,0.064
uniform_min_1_over_k,1e-05,50,25.0,3,1,0.533,25.0,True,0.048000000000000015
uniform,1e-05,50,25.0,3,2,0.761,10.0,True,0.06
uniform_min_1_over_k,1e-05,50,25.0,3,2,0.363,,False,0.038
uniform,1e-05,50,25.0,3,3,0.433,,False,0.041999999999999996
uniform_min_1_over_k,1e-05,50,25.0,3,3,0.32,,False,0.036000000000000004
uniform,1e-05,50,25.0,3,4,0.375,,False,0.046
uniform_min_1_over_k,1e-05,50,25.0,3,4,0.692,16.0,True,0.04300000000000001
uniform,1e-05,50,25.0,3,5,0.807,10.0,True,0.061000000000000026
uniform_min_1_over_k,1e-05,50,25.0,3,5,0.396,,False,0.047000000000000014
uniform,1e-05,50,25.0,3,6,0.863,10.0,True,0.05399999999999999
uniform_min_1_over_k,1e-05,50,25.0,3,6,0.465,,False,0.046999999999999986
uniform,1e-05,50,25.0,3,7,0.792,12.0,True,0.05500000000000001
uniform_min_1_over_k,1e-05,50,25.0,3,7,0.669,16.0,True,0.049000000000000016
uniform,1e-05,50,25.0,3,8,0.712,29.0,True,0.039999999999999994
uniform_min_1_over_k,1e-05,50,25.0,3,8,0.58,13.0,True,0.043
uniform,1e-05,50,25.0,3,9,0.563,16.0,True,0.03699999999999998
uniform_min_1_over_k,1e-05,50,25.0,3,9,0.631,20.0,True,0.031999999999999994
uniform,1e-05,50,25.0,3,10,0.639,17.0,True,0.054
uniform_min_1_over_k,1e-05,50,25.0,3,10,0.72,8.0,True,0.07399999999999998
uniform,1e-05,50,25.0,3,11,0.517,12.0,True,0.060000000000000005
uniform_min_1_over_k,1e-05,50,25.0,3,11,0.65,12.0,True,0.044000000000000004
