threshold_distribution,population_density,k_cap_mean,k_cap_sd,network_replicate,contagion_replicate,final_infected_fraction,time_to_majority,reached_majority_spread,max_slope
uniform,316.22776601683796,50,25.0,1,42,0.924,16.0,True,0.044
uniform_min_1_over_k,316.22776601683796,50,25.0,1,42,0.79,14.0,True,0.05100000000000002
uniform,316.22776601683796,50,25.0,1,43,0.83,15.0,True,0.06499999999999999
uniform_min_1_over_k,316.22776601683796,50,25.0,1,43,0.656,17.0,True,0.03600000000000003
uniform,316.22776601683796,50,25.0,1,44,0.692,13.0,True,0.061
uniform_min_1_over_k,316.22776601683796,50,25.0,1,44,0.628,10.0,True,0.06599999999999999
uniform,316.22776601683796,50,25.0,1,45,0.603,19.0,True,0.038000000000000034
uniform_min_1_over_k,316.22776601683796,50,25.0,1,45,0.81,10.0,True,0.05400000000000002
uniform,316.22776601683796,50,25.0,1,46,0.383,,False,0.044000000000000004
uniform_min_1_over_k,316.22776601683796,50,25.0,1,46,0.395,,False,0.047000000000000014
uniform,316.22776601683796,50,25.0,1,47,0.596,38.0,True,0.04400000000000001
uniform_min_1_over_k,316.22776601683796,50,25.0,1,47,0.402,,False,0.04899999999999999
uniform,316.22776601683796,50,25.0,1,48,0.613,17.0,True,0.05099999999999999
uniform_min_1_over_k,316.22776601683796,50,25.0,1,48,0.79,9.0,True,0.06400000000000002
uniform,316.22776601683796,50,25.0,1,49,0.587,9.0,True,0.065
uniform_min_1_over_k,316.22776601683796,50,25.0,1,49,0.419,,False,0.05299999999999999
uniform,316.22776601683796,50,25.0,2,0,0.887,13.0,True,0.054
uniform_min_1_over_k,316.22776601683796,50,25.0,2,0,0.671,14.0,True,0.05700000000000001
uniform,316.22776601683796,50,25.0,2,1,0.533,17.0,True,0.052
uniform_min_1_over_k,316.22776601683796,50,25.0,2,1,0.745,13.0,True,0.04799999999999999
uniform,316.22776601683796,50,25.0,2,2,0.676,15.0,True,0.052000000000000005
uniform_min_1_over_k,316.22776601683796,50,25.0,2,2,0.656,11.0,True,0.05300000000000002
uniform,316.22776601683796,50,25.0,2,3,0.584,17.0,True,0.059000000000000004
uniform_min_1_over_k,316.22776601683796,50,25.0,2,3,0.593,12.0,True,0.061
uniform,316.22776601683796,50,25.0,2,4,0.456,,False,0.04499999999999999
uniform_min_1_over_k,316.22776601683796,50,25.0,2,4,0.936,16.0,True,0.04600000000000001
uniform,316.22776601683796,50,25.0,2,5,0.742,20.0,True,0.049000000000000016
uniform_min_1_over_k,316.22776601683796,50,25.0,2,5,0.659,15.0,True,0.04000000000000001
uniform,316.22776601683796,50,25.0,2,6,0.771,11.0,True,0.064
uniform_min_1_over_k,316.22776601683796,50,25.0,2,6,0.836,12.0,True,0.056999999999999995
uniform,316.22776601683796,50,25.0,2,7,0.435,,False,0.046000000000000006
uniform_min_1_over_k,316.22776601683796,50,25.0,2,7,0.792,10.0,True,0.05299999999999999
uniform,316.22776601683796,50,25.0,2,8,0.753,10.0,True,0.05199999999999999
uniform_min_1_over_k,316.22776601683796,50,25.0,2,8,0.588,16.0,True,0.052
uniform,316.22776601683796,50,25.0,2,9,0.815,14.0,True,0.060999999999999985
uniform_min_1_over_k,316.22776601683796,50,25.0,2,9,0.375,,False,0.038000000000000006
uniform,316.22776601683796,50,25.0,2,10,0.702,10.0,True,0.055999999999999994
uniform_min_1_over_k,316.22776601683796,50,25.0,2,10,0.585,13.0,True,0.04800000000000004
uniform,316.22776601683796,50,25.0,2,11,0.669,22.0,True,0.04700000000000001
uniform_min_1_over_k,316.22776601683796,50,25.0,2,11,0.548,16.0,True,0.04500000000000001
uniform,316.22776601683796,50,25.0,2,12,0.668,11.0,True,0.056
uniform_min_1_over_k,316.22776601683796,50,25.0,2,12,0.899,13.0,True,0.043999999999999984
uniform,316.22776601683796,50,25.0,2,13,0.583,15.0,True,0.053
uniform_min_1_over_k,316.22776601683796,50,25.0,2,13,0.621,11.0,True,0.056999999999999995
uniform,316.22776601683796,50,25.0,2,14,0.701,14.0,True,0.04999999999999999
uniform_min_1_over_k,316.22776601683796,50,25.0,2,14,0.234,,False,0.03699999999999999
uniform,316.22776601683796,50,25.0,2,15,0.527,17.0,True,0.038000000000000006
uniform_min_1_over_k,316.22776601683796,50,25.0,2,15,0.607,14.0,True,0.04600000000000001
uniform,316.22776601683796,50,25.0,2,16,0.547,18.0,True,0.056999999999999995
uniform_min_1_over_k,316.22776601683796,50,25.0,2,16,0.732,11.0,True,0.05099999999999999
uniform,316.22776601683796,50,25.0,2,17,0.521,30.0,True,0.053
uniform_min_1_over_k,316.22776601683796,50,25.0,2,17,0.934,8.0,True,0.061000000000000026
uniform,316.22776601683796,50,25.0,2,18,0.755,11.0,True,0.05600000000000001
uniform_min_1_over_k,316.22776601683796,50,25.0,2,18,0.713,14.0,True,0.04200000000000004
uniform,316.22776601683796,50,25.0,2,19,0.826,10.0,True,0.05300000000000005
uniform_min_1_over_k,316.22776601683796,50,25.0,2,19,0.84,13.0,True,0.05600000000000001
uniform,316.22776601683796,50,25.0,2,20,0.98,22.0,True,0.037000000000000005
uniform_min_1_over_k,316.22776601683796,50,25.0,2,20,0.686,20.0,True,0.034
uniform,316.22776601683796,50,25.0,2,21,0.494,,False,0.06399999999999999
uniform_min_1_over_k,316.22776601683796,50,25.0,2,21,0.868,13.0,True,0.04600000000000001
uniform,316.22776601683796,50,25.0,2,22,0.336,,False,0.043000000000000003
uniform_min_1_over_k,316.22776601683796,50,25.0,2,22,0.817,11.0,True,0.05100000000000002
uniform,316.22776601683796,50,25.0,2,23,0.585,18.0,True,0.055999999999999994
uniform_min_1_over_k,316.22776601683796,50,25.0,2,23,0.822,7.0,True,0.08399999999999996
uniform,316.22776601683796,50,25.0,2,24,0.509,17.0,True,0.051
uniform_min_1_over_k,316.22776601683796,50,25.0,2,24,0.76,30.0,True,0.042
uniform,316.22776601683796,50,25.0,2,25,0.814,12.0,True,0.068
uniform_min_1_over_k,316.22776601683796,50,25.0,2,25,0.743,8.0,True,0.065
uniform,316.22776601683796,50,25.0,2,26,0.736,15.0,True,0.04799999999999999
uniform_min_1_over_k,316.22776601683796,50,25.0,2,26,0.264,,False,0.026000000000000002
uniform,316.22776601683796,50,25.0,2,27,0.389,,False,0.048000000000000015
uniform_min_1_over_k,316.22776601683796,50,25.0,2,27,0.551,15.0,True,0.043999999999999984
uniform,316.22776601683796,50,25.0,2,28,0.372,,False,0.029000000000000012
uniform_min_1_over_k,316.22776601683796,50,25.0,2,28,0.257,,False,0.025
uniform,316.22776601683796,50,25.0,2,29,0.482,,False,0.03899999999999999
uniform_min_1_over_k,316.22776601683796,50,25.0,2,29,0.749,12.0,True,0.05299999999999999
uniform,316.22776601683796,50,25.0,2,30,0.825,16.0,True,0.05600000000000001
uniform_min_1_over_k,316.22776601683796,50,25.0,2,30,0.882,12.0,True,0.05899999999999994
uniform,316.22776601683796,50,25.0,2,31,0.56,19.0,True,0.041999999999999996
uniform_min_1_over_k,316.22776601683796,50,25.0,2,31,0.288,,False,0.034
uniform,316.22776601683796,50,25.0,2,32,0.355,,False,0.04899999999999999
uniform_min_1_over_k,316.22776601683796,50,25.0,2,32,0.575,13.0,True,0.05099999999999999
uniform,316.22776601683796,50,25.0,2,33,0.487,,False,0.062
uniform_min_1_over_k,316.22776601683796,50,25.0,2,33,0.651,11.0,True,0.055999999999999994
uniform,316.22776601683796,50,25.0,2,34,0.29,,False,0.037
uniform_min_1_over_k,316.22776601683796,50,25.0,2,34,0.676,17.0,True,0.037000000000000005
uniform,316.22776601683796,50,25.0,2,35,0.672,16.0,True,0.05399999999999999
uniform_min_1_over_k,316.22776601683796,50,25.0,2,35,0.602,25.0,True,0.033
uniform,316.22776601683796,50,25.0,2,36,0.52,25.0,True,0.048999999999999995
uniform_min_1_over_k,316.22776601683796,50,25.0,2,36,0.781,20.0,True,0.037
uniform,316.22776601683796,50,25.0,2,37,0.907,14.0,True,0.05500000000000001
uniform_min_1_over_k,316.22776601683796,50,25.0,2,37,0.395,,False,0.041999999999999996
uniform,316.22776601683796,50,25.0,2,38,0.727,16.0,True,0.035999999999999976
uniform_min_1_over_k,316.22776601683796,50,25.0,2,38,0.28,,False,0.036000000000000004
uniform,316.22776601683796,50,25.0,2,39,0.491,,False,0.033
uniform_min_1_over_k,316.22776601683796,50,25.0,2,39,0.353,,False,0.023000000000000007
uniform,316.22776601683796,50,25.0,2,40,0.495,,False,0.04100000000000001
uniform_min_1_over_k,316.22776601683796,50,25.0,2,40,0.615,15.0,True,0.043999999999999984
uniform,316.22776601683796,50,25.0,2,41,0.531,19.0,True,0.064
uniform_min_1_over_k,316.22776601683796,50,25.0,2,41,0.739,9.0,True,0.068
uniform,316.22776601683796,50,25.0,2,42,0.561,27.0,True,0.041999999999999996
uniform_min_1_over_k,316.22776601683796,50,25.0,2,42,0.887,18.0,True,0.051000000000000004
uniform,316.22776601683796,50,25.0,2,43,0.602,15.0,True,0.04700000000000001
uniform_min_1_over_k,316.22776601683796,50,25.0,2,43,0.559,15.0,True,0.059
uniform,316.22776601683796,50,25.0,2,44,0.669,17.0,True,0.04400000000000001
uniform_min_1_over_k,316.22776601683796,50,25.0,2,44,0.849,15.0,True,0.045999999999999985
uniform,316.22776601683796,50,25.0,2,45,0.358,,False,0.037000000000000005
uniform_min_1_over_k,316.22776601683796,50,25.0,2,45,0.354,,False,0.040999999999999995
uniform,316.22776601683796,50,25.0,2,46,0.879,10.0,True,0.056999999999999995
uniform_min_1_over_k,316.22776601683796,50,25.0,2,46,0.409,,False,0.043000000000000003
uniform,316.22776601683796,50,25.0,2,47,0.684,11.0,True,0.059000000000000004
uniform_min_1_over_k,316.22776601683796,50,25.0,2,47,0.625,13.0,True,0.047999999999999994
uniform,316.22776601683796,50,25.0,2,48,0.824,14.0,True,0.047
uniform_min_1_over_k,316.22776601683796,50,25.0,2,48,0.629,12.0,True,0.05499999999999999
uniform,316.22776601683796,50,25.0,2,49,0.73,17.0,True,0.04000000000000001
uniform_min_1_over_k,316.22776601683796,50,25.0,2,49,0.569,29.0,True,0.039999999999999994
uniform,316.22776601683796,50,25.0,3,0,0.877,8.0,True,0.066
uniform_min_1_over_k,316.22776601683796,50,25.0,3,0,0.416,,False,0.047
uniform,316.22776601683796,50,25.0,3,1,0.279,,False,0.033999999999999996
uniform_min_1_over_k,316.22776601683796,50,25.0,3,1,0.501,21.0,True,0.06300000000000001
uniform,316.22776601683796,50,25.0,3,2,0.778,10.0,True,0.061000000000000006
uniform_min_1_over_k,316.22776601683796,50,25.0,3,2,0.635,19.0,True,0.04000000000000001
uniform,316.22776601683796,50,25.0,3,3,0.666,13.0,True,0.06
uniform_min_1_over_k,316.22776601683796,50,25.0,3,3,0.536,19.0,True,0.06100000000000001
uniform,316.22776601683796,50,25.0,3,4,0.497,,False,0.051000000000000004
uniform_min_1_over_k,316.22776601683796,50,25.0,3,4,0.693,17.0,True,0.059000000000000004
uniform,316.22776601683796,50,25.0,3,5,0.693,25.0,True,0.04700000000000001
uniform_min_1_over_k,316.22776601683796,50,25.0,3,5,0.867,11.0,True,0.05900000000000005
uniform,316.22776601683796,50,25.0,3,6,0.93,10.0,True,0.06299999999999999
uniform_min_1_over_k,316.22776601683796,50,25.0,3,6,0.711,18.0,True,0.05800000000000001
uniform,316.22776601683796,50,25.0,3,7,0.581,15.0,True,0.060000000000000005
uniform_min_1_over_k,316.22776601683796,50,25.0,3,7,0.797,9.0,True,0.06900000000000003
uniform,316.22776601683796,50,25.0,3,8,0.883,7.0,True,0.08099999999999999
uniform_min_1_over_k,316.22776601683796,50,25.0,3,8,0.638,18.0,True,0.06
uniform,316.22776601683796,50,25.0,3,9,0.859,13.0,True,0.047
uniform_min_1_over_k,316.22776601683796,50,25.0,3,9,0.847,10.0,True,0.05499999999999999
uniform,316.22776601683796,50,25.0,3,10,0.914,14.0,True,0.04999999999999999
uniform_min_1_over_k,316.22776601683796,50,25.0,3,10,0.905,9.0,True,0.058
uniform,316.22776601683796,50,25.0,3,11,0.913,10.0,True,0.059
uniform_min_1_over_k,316.22776601683796,50,25.0,3,11,0.476,,False,0.055999999999999994
uniform,316.22776601683796,50,25.0,3,12,0.857,12.0,True,0.068
uniform_min_1_over_k,316.22776601683796,50,25.0,3,12,0.937,16.0,True,0.05499999999999999
uniform,316.22776601683796,50,25.0,3,13,0.452,,False,0.04600000000000001
uniform_min_1_over_k,316.22776601683796,50,25.0,3,13,0.478,,False,0.049
uniform,316.22776601683796,50,25.0,3,14,0.476,,False,0.05299999999999999
uniform_min_1_over_k,316.22776601683796,50,25.0,3,14,0.953,11.0,True,0.048000000000000015
uniform,316.22776601683796,50,25.0,3,15,0.376,,False,0.052
uniform_min_1_over_k,316.22776601683796,50,25.0,3,15,0.86,9.0,True,0.07200000000000001
uniform,316.22776601683796,50,25.0,3,16,0.672,12.0,True,0.05000000000000002
uniform_min_1_over_k,316.22776601683796,50,25.0,3,16,0.892,17.0,True,0.04600000000000001
uniform,316.22776601683796,50,25.0,3,17,0.701,15.0,True,0.055999999999999994
uniform_min_1_over_k,316.22776601683796,50,25.0,3,17,0.517,15.0,True,0.062
uniform,316.22776601683796,50,25.0,3,18,0.908,14.0,True,0.045999999999999985
uniform_min_1_over_k,316.22776601683796,50,25.0,3,18,0.922,14.0,True,0.045
uniform,316.22776601683796,50,25.0,3,19,0.184,,False,0.032
uniform_min_1_over_k,316.22776601683796,50,25.0,3,19,0.536,30.0,True,0.028999999999999998
uniform,316.22776601683796,50,25.0,3,20,0.32,,False,0.043000000000000003
uniform_min_1_over_k,316.22776601683796,50,25.0,3,20,0.456,,False,0.036000000000000004
uniform,316.22776601683796,50,25.0,3,21,0.518,29.0,True,0.04899999999999999
uniform_min_1_over_k,316.22776601683796,50,25.0,3,21,0.816,16.0,True,0.04000000000000001
uniform,316.22776601683796,50,25.0,3,22,0.563,18.0,True,0.04200000000000001
uniform_min_1_over_k,316.22776601683796,50,25.0,3,22,0.592,14.0,True,0.043
uniform,316.22776601683796,50,25.0,3,23,0.696,9.0,True,0.066
uniform_min_1_over_k,316.22776601683796,50,25.0,3,23,0.672,13.0,True,0.05399999999999999
uniform,316.22776601683796,50,25.0,3,24,0.595,16.0,True,0.03899999999999999
uniform_min_1_over_k,316.22776601683796,50,25.0,3,24,0.471,,False,0.05299999999999999
uniform,316.22776601683796,50,25.0,3,25,0.476,,False,0.047000000000000014
uniform_min_1_over_k,316.22776601683796,50,25.0,3,25,0.743,16.0,True,0.04799999999999999
uniform,316.22776601683796,50,25.0,3,26,0.877,15.0,True,0.049
uniform_min_1_over_k,316.22776601683796,50,25.0,3,26,0.495,,False,0.041999999999999996
uniform,316.22776601683796,50,25.0,3,27,0.522,20.0,True,0.049
uniform_min_1_over_k,316.22776601683796,50,25.0,3,27,0.869,21.0,True,0.034
uniform,316.22776601683796,50,25.0,3,28,0.423,,False,0.03399999999999999
uniform_min_1_over_k,316.22776601683796,50,25.0,3,28,0.703,10.0,True,0.064
uniform,316.22776601683796,50,25.0,3,29,0.464,,False,0.04100000000000001
uniform_min_1_over_k,316.22776601683796,50,25.0,3,29,0.838,11.0,True,0.065
uniform,316.22776601683796,50,25.0,3,30,0.373,,False,0.04899999999999999
uniform_min_1_over_k,316.22776601683796,50,25.0,3,30,0.665,30.0,True,0.034
uniform,316.22776601683796,50,25.0,3,31,0.814,11.0,True,0.05199999999999999
uniform_min_1_over_k,316.22776601683796,50,25.0,3,31,0.801,10.0,True,0.06
uniform,316.22776601683796,50,25.0,3,32,0.828,10.0,True,0.06000000000000001
uniform_min_1_over_k,316.22776601683796,50,25.0,3,32,0.82,15.0,True,0.043999999999999984
uniform,316.22776601683796,50,25.0,3,33,0.501,21.0,True,0.03899999999999999
uniform_min_1_over_k,316.22776601683796,50,25.0,3,33,0.607,23.0,True,0.04999999999999999
uniform,316.22776601683796,50,25.0,3,34,0.885,15.0,True,0.047999999999999994
uniform_min_1_over_k,316.22776601683796,50,25.0,3,34,0.797,11.0,True,0.05500000000000001
uniform,316.22776601683796,50,25.0,3,35,0.761,17.0,True,0.047999999999999994
uniform_min_1_over_k,316.22776601683796,50,25.0,3,35,0.6,15.0,True,0.053
uniform,316.22776601683796,50,25.0,3,36,0.657,12.0,True,0.04900000000000001
uniform_min_1_over_k,316.22776601683796,50,25.0,3,36,0.728,23.0,True,0.039
uniform,316.22776601683796,50,25.0,3,37,0.645,15.0,True,0.04100000000000001
uniform_min_1_over_k,316.22776601683796,50,25.0,3,37,0.58,14.0,True,0.056999999999999995
uniform,316.22776601683796,50,25.0,3,38,0.772,9.0,True,0.062
uniform_min_1_over_k,316.22776601683796,50,25.0,3,38,0.397,,False,0.041
uniform,316.22776601683796,50,25.0,3,39,0.596,12.0,True,0.059
uniform_min_1_over_k,316.22776601683796,50,25.0,3,39,0.371,,False,0.048999999999999995
uniform,316.22776601683796,50,25.0,3,40,0.458,,False,0.055999999999999994
uniform_min_1_over_k,316.22776601683796,50,25.0,3,40,0.808,13.0,True,0.049000000000000016
uniform,316.22776601683796,50,25.0,3,41,0.362,,False,0.054000000000000006
uniform_min_1_over_k,316.22776601683796,50,25.0,3,41,0.779,19.0,True,0.043000000000000003
uniform,316.22776601683796,50,25.0,3,42,0.539,17.0,True,0.044999999999999984
uniform_min_1_over_k,316.22776601683796,50,25.0,3,42,0.795,14.0,True,0.043
uniform,316.22776601683796,50,25.0,3,43,0.389,,False,0.031
uniform_min_1_over_k,316.22776601683796,50,25.0,3,43,0.601,22.0,True,0.03799999999999999
uniform,316.22776601683796,50,25.0,3,44,0.476,,False,0.052000000000000005
uniform_min_1_over_k,316.22776601683796,50,25.0,3,44,0.534,10.0,True,0.057999999999999996
uniform,316.22776601683796,50,25.0,3,45,0.578,23.0,True,0.037
uniform_min_1_over_k,316.22776601683796,50,25.0,3,45,0.781,14.0,True,0.04600000000000001
uniform,316.22776601683796,50,25.0,3,46,0.756,13.0,True,0.046
uniform_min_1_over_k,316.22776601683796,50,25.0,3,46,0.714,17.0,True,0.04500000000000001
uniform,316.22776601683796,50,25.0,3,47,0.717,10.0,True,0.06199999999999999
uniform_min_1_over_k,316.22776601683796,50,25.0,3,47,0.882,14.0,True,0.049999999999999996
uniform,316.22776601683796,50,25.0,3,48,0.498,,False,0.047000000000000014
uniform_min_1_over_k,316.22776601683796,50,25.0,3,48,0.379,,False,0.04300000000000001
uniform,316.22776601683796,50,25.0,3,49,0.74,11.0,True,0.060999999999999985
uniform_min_1_over_k,316.22776601683796,50,25.0,3,49,0.952,11.0,True,0.068
uniform,316.22776601683796,50,25.0,4,0,0.548,29.0,True,0.03900000000000001
uniform_min_1_over_k,316.22776601683796,50,25.0,4,0,0.376,,False,0.04700000000000001
uniform,316.22776601683796,50,25.0,4,1,0.645,22.0,True,0.043000000000000003
uniform_min_1_over_k,316.22776601683796,50,25.0,4,1,0.543,23.0,True,0.04799999999999999
uniform,316.22776601683796,50,25.0,4,2,0.743,13.0,True,0.04799999999999999
uniform_min_1_over_k,316.22776601683796,50,25.0,4,2,0.85,20.0,True,0.03
uniform,316.22776601683796,50,25.0,4,3,0.593,17.0,True,0.04300000000000001
uniform_min_1_over_k,316.22776601683796,50,25.0,4,3,0.876,27.0,True,0.038000000000000006
uniform,316.22776601683796,50,25.0,4,4,0.497,,False,0.05100000000000002
uniform_min_1_over_k,316.22776601683796,50,25.0,4,4,0.855,18.0,True,0.041000000000000036
uniform,316.22776601683796,50,25.0,4,5,0.821,13.0,True,0.060000000000000026
uniform_min_1_over_k,316.22776601683796,50,25.0,4,5,0.66,11.0,True,0.059
uniform,316.22776601683796,50,25.0,4,6,0.638,9.0,True,0.069
uniform_min_1_over_k,316.22776601683796,50,25.0,4,6,0.718,11.0,True,0.05099999999999999
uniform,316.22776601683796,50,25.0,4,7,0.697,16.0,True,0.03799999999999998
uniform_min_1_over_k,316.22776601683796,50,25.0,4,7,0.843,36.0,True,0.04000000000000001
uniform,316.22776601683796,50,25.0,4,8,0.83,19.0,True,0.048
uniform_min_1_over_k,316.22776601683796,50,25.0,4,8,0.679,14.0,True,0.048
uniform,316.22776601683796,50,25.0,4,9,0.668,14.0,True,0.052000000000000005
uniform_min_1_over_k,316.22776601683796,50,25.0,4,9,0.908,10.0,True,0.05099999999999999
uniform,316.22776601683796,50,25.0,4,10,0.617,15.0,True,0.054
uniform_min_1_over_k,316.22776601683796,50,25.0,4,10,0.905,8.0,True,0.076
uniform,316.22776601683796,50,25.0,4,11,0.632,26.0,True,0.046
uniform_min_1_over_k,316.22776601683796,50,25.0,4,11,0.572,16.0,True,0.04199999999999998
uniform,316.22776601683796,50,25.0,4,12,0.662,16.0,True,0.036000000000000004
uniform_min_1_over_k,316.22776601683796,50,25.0,4,12,0.839,14.0,True,0.04200000000000001
uniform,316.22776601683796,50,25.0,4,13,0.893,14.0,True,0.06000000000000005
uniform_min_1_over_k,316.22776601683796,50,25.0,4,13,0.33,,False,0.041
uniform,316.22776601683796,50,25.0,4,14,0.642,15.0,True,0.047
uniform_min_1_over_k,316.22776601683796,50,25.0,4,14,0.518,47.0,True,0.038000000000000006
uniform,316.22776601683796,50,25.0,4,15,0.825,11.0,True,0.06799999999999999
uniform_min_1_over_k,316.22776601683796,50,25.0,4,15,0.508,28.0,True,0.045000000000000005
uniform,316.22776601683796,50,25.0,4,16,0.746,20.0,True,0.04000000000000001
uniform_min_1_over_k,316.22776601683796,50,25.0,4,16,0.952,12.0,True,0.04600000000000001
uniform,316.22776601683796,50,25.0,4,17,0.417,,False,0.052
uniform_min_1_over_k,316.22776601683796,50,25.0,4,17,0.602,12.0,True,0.05299999999999999
uniform,316.22776601683796,50,25.0,4,18,0.514,22.0,True,0.04599999999999999
uniform_min_1_over_k,316.22776601683796,50,25.0,4,18,0.716,11.0,True,0.06399999999999999
uniform,316.22776601683796,50,25.0,4,19,0.596,21.0,True,0.049
uniform_min_1_over_k,316.22776601683796,50,25.0,4,19,0.915,10.0,True,0.069
uniform,316.22776601683796,50,25.0,4,20,0.775,15.0,True,0.041999999999999996
uniform_min_1_over_k,316.22776601683796,50,25.0,4,20,0.665,20.0,True,0.041999999999999996
uniform,316.22776601683796,50,25.0,4,21,0.593,17.0,True,0.057999999999999996
uniform_min_1_over_k,316.22776601683796,50,25.0,4,21,0.7,11.0,True,0.056999999999999995
uniform,316.22776601683796,50,25.0,4,22,0.622,19.0,True,0.053
uniform_min_1_over_k,316.22776601683796,50,25.0,4,22,0.666,15.0,True,0.06899999999999999
uniform,316.22776601683796,50,25.0,4,23,0.89,13.0,True,0.05099999999999999
uniform_min_1_over_k,316.22776601683796,50,25.0,4,23,0.287,,False,0.037000000000000005
uniform,316.22776601683796,50,25.0,4,24,0.891,11.0,True,0.07
uniform_min_1_over_k,316.22776601683796,50,25.0,4,24,0.896,19.0,True,0.044999999999999984
uniform,316.22776601683796,50,25.0,4,25,0.957,10.0,True,0.061
uniform_min_1_over_k,316.22776601683796,50,25.0,4,25,0.962,17.0,True,0.050999999999999934
uniform,316.22776601683796,50,25.0,4,26,0.589,11.0,True,0.06399999999999999
uniform_min_1_over_k,316.22776601683796,50,25.0,4,26,0.952,13.0,True,0.051000000000000004
uniform,316.22776601683796,50,25.0,4,27,0.407,,False,0.037
uniform_min_1_over_k,316.22776601683796,50,25.0,4,27,0.935,14.0,True,0.045999999999999985
uniform,316.22776601683796,50,25.0,4,28,0.289,,False,0.03599999999999999
uniform_min_1_over_k,316.22776601683796,50,25.0,4,28,0.397,,False,0.031
uniform,316.22776601683796,50,25.0,4,29,0.856,12.0,True,0.04999999999999999
uniform_min_1_over_k,316.22776601683796,50,25.0,4,29,0.681,12.0,True,0.045999999999999985
uniform,316.22776601683796,50,25.0,4,30,0.233,,False,0.032999999999999995
uniform_min_1_over_k,316.22776601683796,50,25.0,4,30,0.399,,False,0.032
uniform,316.22776601683796,50,25.0,4,31,0.358,,False,0.043000000000000003
uniform_min_1_over_k,316.22776601683796,50,25.0,4,31,0.827,9.0,True,0.07300000000000001
uniform,316.22776601683796,50,25.0,4,32,0.637,9.0,True,0.062000000000000006
uniform_min_1_over_k,316.22776601683796,50,25.0,4,32,0.487,,False,0.055
uniform,316.22776601683796,50,25.0,4,33,0.736,11.0,True,0.052
uniform_min_1_over_k,316.22776601683796,50,25.0,4,33,0.82,13.0,True,0.05600000000000001
uniform,316.22776601683796,50,25.0,4,34,0.537,20.0,True,0.04100000000000001
uniform_min_1_over_k,316.22776601683796,50,25.0,4,34,0.846,13.0,True,0.05300000000000002
uniform,316.22776601683796,50,25.0,4,35,0.268,,False,0.044000000000000004
uniform_min_1_over_k,316.22776601683796,50,25.0,4,35,0.917,12.0,True,0.04900000000000001
uniform,316.22776601683796,50,25.0,4,36,0.509,15.0,True,0.05399999999999999
uniform_min_1_over_k,316.22776601683796,50,25.0,4,36,0.519,17.0,True,0.03599999999999999
uniform,316.22776601683796,50,25.0,4,37,0.967,11.0,True,0.059
uniform_min_1_over_k,316.22776601683796,50,25.0,4,37,0.638,15.0,True,0.06699999999999999
uniform,316.22776601683796,50,25.0,4,38,0.86,12.0,True,0.051
uniform_min_1_over_k,316.22776601683796,50,25.0,4,38,0.663,17.0,True,0.044000000000000004
uniform,316.22776601683796,50,25.0,4,39,0.357,,False,0.054
uniform_min_1_over_k,316.22776601683796,50,25.0,4,39,0.781,11.0,True,0.06000000000000001
uniform,316.22776601683796,50,25.0,4,40,0.764,15.0,True,0.03900000000000001
uniform_min_1_over_k,316.22776601683796,50,25.0,4,40,0.465,,False,0.056
uniform,316.22776601683796,50,25.0,4,41,0.48,,False,0.051000000000000004
uniform_min_1_over_k,316.22776601683796,50,25.0,4,41,0.557,20.0,True,0.037000000000000005
uniform,316.22776601683796,50,25.0,4,42,0.93,10.0,True,0.05299999999999999
uniform_min_1_over_k,316.22776601683796,50,25.0,4,42,0.853,14.0,True,0.05500000000000002
uniform,316.22776601683796,50,25.0,4,43,0.598,25.0,True,0.045999999999999985
uniform_min_1_over_k,316.22776601683796,50,25.0,4,43,0.783,12.0,True,0.052
uniform,316.22776601683796,50,25.0,4,44,0.417,,False,0.04000000000000001
uniform_min_1_over_k,316.22776601683796,50,25.0,4,44,0.603,16.0,True,0.03700000000000003
uniform,316.22776601683796,50,25.0,4,45,0.433,,False,0.042
uniform_min_1_over_k,316.22776601683796,50,25.0,4,45,0.744,19.0,True,0.044999999999999984
uniform,316.22776601683796,50,25.0,4,46,0.332,,False,0.036000000000000004
uniform_min_1_over_k,316.22776601683796,50,25.0,4,46,0.706,21.0,True,0.03900000000000001
uniform,316.22776601683796,50,25.0,4,47,0.737,15.0,True,0.046000000000000006
uniform_min_1_over_k,316.22776601683796,50,25.0,4,47,0.842,11.0,True,0.061
uniform,316.22776601683796,50,25.0,4,48,0.688,16.0,True,0.052000000000000005
uniform_min_1_over_k,316.22776601683796,50,25.0,4,48,0.71,19.0,True,0.041999999999999996
uniform,316.22776601683796,50,25.0,4,49,0.605,17.0,True,0.05700000000000001
uniform_min_1_over_k,316.22776601683796,50,25.0,4,49,0.616,10.0,True,0.055999999999999994
uniform,316.22776601683796,50,25.0,5,0,0.751,11.0,True,0.065
uniform_min_1_over_k,316.22776601683796,50,25.0,5,0,0.887,16.0,True,0.065
uniform,316.22776601683796,50,25.0,5,1,0.477,,False,0.046000000000000006
uniform_min_1_over_k,316.22776601683796,50,25.0,5,1,0.852,10.0,True,0.06200000000000001
uniform,316.22776601683796,50,25.0,5,2,0.486,,False,0.054000000000000006
uniform_min_1_over_k,316.22776601683796,50,25.0,5,2,0.839,11.0,True,0.048000000000000015
uniform,316.22776601683796,50,25.0,5,3,0.524,23.0,True,0.05500000000000001
uniform_min_1_over_k,316.22776601683796,50,25.0,5,3,0.694,13.0,True,0.05299999999999999
